date,symbol,side,level_timeframe,level_price,swept_at,confirmed_by,confirmed_at,pullback_into,entry_at,entry,stop,stop_rests_on,risk_per_share,shares,notional,risk_wanted_dollars,risk_taken_dollars,risk_pct_of_account,size_clamped_by_buying_power,target1,target1_from,target2,target2_from,exit_at,exit_price,what_happened,pnl_dollars,pnl_pct_of_account,reward_vs_risk,regime,cost_dollars,filter_escalated
2026-02-17,SPY,short,london,681.37,09:30,5-minute break of structure,09:50,a fair value gap,10:11,676.75,682.8677,"beyond the furthest price reached while the london level was being taken, plus a spread buffer",6.1177,163.46,110622.09,1000.0,1000.0,1.0,False,670.6323,"no pool beyond 1:1, so the 1:1 floor itself",664.5147,"no marked level beyond target 1, so twice what was risked",11:19,682.8677,stopped out,-1003.87,-1.004,-1.004,trending down,3.87,False
2026-03-09,QQQ,short,london,595.75,09:30,5-minute gap inversion,09:35,the midpoint,10:11,591.72,596.5292,"beyond the furthest price reached while the london level was being taken, plus a spread buffer",4.8092,205.85,121804.73,989.96,989.96,1.0,False,585.87,the first 15-minute pool at or beyond 1:1,582.1017,"no marked level beyond target 1, so twice what was risked",10:44,596.5292,stopped out,-994.22,-1.004,-1.004,trending down,4.26,False
2026-03-19,SPY,long,15m,655.91,09:30,5-minute break of structure,09:40,a fair value gap,09:59,658.66,655.1041,"beyond the furthest price reached while the 15m level was being taken, plus a spread buffer",3.5559,275.61,181530.84,980.02,980.02,1.0,False,664.72,the first 15-minute pool at or beyond 1:1,667.44,the next marked higher-timeframe level,15:55,660.215,flat by the close,422.21,0.431,0.431,trending down,6.35,False
2026-03-24,SPY,short,15m,653.03,09:35,5-minute break of structure,09:40,the midpoint,10:05,651.75,653.1052,"beyond the furthest price reached while the 15m level was being taken, plus a spread buffer",1.3552,604.06,393696.47,984.24,818.61,0.832,True,649.88,the first 15-minute pool at or beyond 1:1,641.0,the next marked higher-timeframe level,10:07,653.1052,stopped out,-832.39,-0.846,-1.017,trending down,13.78,False
2026-03-26,QQQ,long,15m,580.59,09:35,5-minute gap inversion,09:40,a fair value gap,10:06,584.17,580.3916,"beyond the furthest price reached while the 15m level was being taken, plus a spread buffer",3.7784,258.29,150883.72,975.92,975.92,1.0,False,588.1751,the first 15-minute pool at or beyond 1:1,588.21,the next marked higher-timeframe level,10:55,580.3916,stopped out,-981.2,-1.005,-1.005,trending down,5.28,False
2026-04-09,QQQ,long,15m,604.55,09:30,5-minute break of structure,09:40,the midpoint,09:57,604.82,604.4095,"beyond the furthest price reached while the 15m level was being taken, plus a spread buffer",0.4105,638.94,386442.13,966.11,262.27,0.271,True,607.1,the first 15-minute pool at or beyond 1:1,607.705,the next marked higher-timeframe level,10:00,604.4095,stopped out,-275.8,-0.285,-1.052,trending up,13.53,False
2026-05-07,SPY,long,1h,734.08,09:45,5-minute break of structure,10:00,a fair value gap,10:20,734.79,733.4765,"beyond the furthest price reached while the 1h level was being taken, plus a spread buffer",1.3135,524.42,385338.94,963.35,688.82,0.715,True,736.13,the first 15-minute pool at or beyond 1:1,737.417,"no marked level beyond target 1, so twice what was risked",11:26,734.79,stopped at break even,337.87,0.351,0.491,trending up,13.49,False
2026-05-22,QQQ,short,15m,718.6,09:30,5-minute break of structure,10:00,a fair value gap,10:19,717.37,721.4017,"beyond the furthest price reached while the 15m level was being taken, plus a spread buffer",4.0317,239.78,172010.3,966.73,966.73,1.0,False,710.91,the first 15-minute pool at or beyond 1:1,708.77,the next marked higher-timeframe level,13:28,721.4017,stopped out,-972.75,-1.006,-1.006,trending up,6.02,False
2026-05-26,SPY,long,1h,749.82,09:30,5-minute gap inversion,09:45,the midpoint,10:18,751.535,749.0558,"beyond the furthest price reached while the 1h level was being taken, plus a spread buffer",2.4792,386.02,290106.27,957.0,957.0,1.0,False,754.0142,"no pool beyond 1:1, so the 1:1 floor itself",756.4933,"no marked level beyond target 1, so twice what was risked",11:46,749.0558,stopped out,-967.15,-1.011,-1.011,trending up,10.15,False
2026-05-28,QQQ,long,15m,729.15,09:30,5-minute break of structure,10:10,a fair value gap,10:29,731.9299,726.3368,"beyond the furthest price reached while the 15m level was being taken, plus a spread buffer",5.5931,169.37,123970.23,947.33,947.33,1.0,False,737.6,the first 15-minute pool at or beyond 1:1,743.1161,"no marked level beyond target 1, so twice what was risked",15:55,735.34,flat by the close,573.24,0.605,0.605,trending up,4.34,False
2026-06-22,QQQ,long,15m,741.38,09:30,5-minute break of structure,09:35,the midpoint,09:57,744.14,740.3556,"beyond the furthest price reached while the 15m level was being taken, plus a spread buffer",3.7844,251.84,187402.79,953.06,953.06,1.0,False,747.9244,"no pool beyond 1:1, so the 1:1 floor itself",751.7088,"no marked level beyond target 1, so twice what was risked",10:27,740.3556,stopped out,-959.62,-1.007,-1.007,trending up,6.56,False
2026-06-23,SPY,long,4h,732.91,09:30,5-minute break of structure,09:35,a fair value gap,10:09,738.38,732.2262,"beyond the furthest price reached while the 4h level was being taken, plus a spread buffer",6.1538,153.31,113203.25,943.46,943.46,1.0,False,745.15,the first 15-minute pool at or beyond 1:1,750.18,the next marked higher-timeframe level,15:55,734.99,flat by the close,-523.69,-0.555,-0.555,no trend,3.96,False
2026-06-26,SPY,long,15m,727.4,09:30,5-minute gap inversion,09:55,a fair value gap,10:20,733.79,726.7866,"beyond the furthest price reached while the 15m level was being taken, plus a spread buffer",7.0034,133.97,98304.14,938.23,938.23,1.0,False,743.7,the first 15-minute pool at or beyond 1:1,745.15,the next marked higher-timeframe level,15:55,733.09,flat by the close,-97.22,-0.104,-0.104,trending down,3.44,False
2026-07-20,SPY,short,london,748.01,09:30,5-minute break of structure,09:55,the midpoint,10:17,744.83,748.8045,"beyond the furthest price reached while the london level was being taken, plus a spread buffer",3.9745,235.82,175644.25,937.25,937.25,1.0,False,740.8,the first 15-minute pool at or beyond 1:1,736.881,"no marked level beyond target 1, so twice what was risked",15:55,741.91,flat by the close,682.44,0.728,0.728,trending down,6.15,False
